250	12.6
290.8	12.6
290.9	12.598809355
291	12.5952353927
291.1	12.5892720131
291.2	12.5809089921
291.3	12.5701318924
291.4	12.5569219382
291.5	12.5412558482
291.6	12.5231056256
291.7	12.5024382994
291.8	12.4792156109
291.9	12.4533936399
292	12.4249223595
292.1	12.3937451095
292.2	12.3597979746
292.3	12.3230090492
292.4	12.2832975678
292.5	12.2405728739
292.6	12.1947331922
292.7	12.1456641601
292.8	12.0932370625
292.9	12.0373066959
293	11.977708764
293.1	11.9142566782
293.2	11.8467375879
293.3	11.7749074061
293.4	11.6984845005
293.5	11.6171415884
293.6	11.5304951685
293.7	11.4380915062
293.8	11.3393876913
293.9	11.2337254631
294	11.1202941017
294.1	10.9980762113
294.2	10.8657656012
294.3	10.7216373532
294.4	10.5633307653
294.5	10.3874606914
294.6	10.188854382
294.7	9.9588457268
294.8	9.6806248475
294.9	9.3110433579
295	8.4
350	8.4
